farm_crop_id,farm_id,crop_type_id,variety_id,production_tons,soil_type,irrigation_system,fertilizer_used,is_organic,technician_id
1,1,1,1,4.00,Sandy,Sprinkler,Compost,Yes,1
2,2,2,2,10.00,Sandy,Sprinkler,Manure,No,2
3,3,2,3,8.00,Clay,None,None,No,3
4,4,1,4,2.00,Clay,Drip,NPK,Yes,4
5,5,3,1,10.00,Loam,Sprinkler,None,Yes,5
6,1,3,5,2.00,Silt,Drip,None,Yes,1
7,2,3,3,7.00,Loam,Drip,Compost,No,2
8,3,3,1,10.00,Peaty,Sprinkler,Manure,Yes,3
9,4,4,5,15.00,Loam,Sprinkler,Manure,No,4
10,5,1,2,10.00,Clay,None,NPK,No,5
11,1,4,5,10.00,Loam,None,None,Yes,1
12,2,1,4,7.00,Clay,None,NPK,Yes,2
13,3,4,1,9.00,Silt,None,Compost,No,3
14,4,2,3,10.00,Peaty,Drip,Compost,No,4
15,5,2,1,12.00,Silt,Sprinkler,NPK,No,5
